Variable,Index,Value
P_gen,"(1, 4, 85)",52.35290542183316
P_gen,"(1, 4, 86)",66.15912958910764
P_gen,"(1, 4, 87)",74.80671043034278
P_gen,"(1, 4, 88)",80.88743009968391
P_gen,"(1, 4, 89)",57.78567955263787
P_gen,"(1, 4, 90)",34.38487721857513
P_gen,"(1, 4, 91)",37.8488937515196
P_gen,"(1, 4, 92)",61.1998541210794
P_gen,"(1, 4, 93)",152.88414782397277
P_gen,"(1, 4, 94)",181.2940675905664
P_gen,"(1, 4, 95)",158.24215900802346
P_gen,"(1, 4, 96)",51.87940675905668
P_gen,"(1, 4, 97)",0.0
P_gen,"(1, 4, 98)",0.0
P_gen,"(1, 4, 99)",0.0
P_gen,"(1, 4, 100)",0.0
P_gen,"(1, 4, 101)",0.0
P_gen,"(1, 4, 102)",0.0
P_gen,"(1, 4, 103)",0.0
P_gen,"(1, 4, 104)",0.0
P_gen,"(1, 4, 105)",0.0
P_gen,"(1, 4, 106)",0.0
P_gen,"(1, 4, 107)",0.0
P_gen,"(1, 4, 108)",38.92049598832972
P_gen,"(1, 4, 109)",104.38791636275204
P_gen,"(1, 4, 110)",122.48054947726703
P_gen,"(1, 4, 111)",148.67250182348647
P_gen,"(1, 4, 112)",137.85679552637987
P_gen,"(1, 4, 113)",113.50899586676385
P_gen,"(1, 4, 114)",93.0239484561148
P_gen,"(1, 4, 115)",89.11135424264529
P_gen,"(1, 4, 116)",142.86591295891074
P_gen,"(1, 4, 117)",257.3529054218334
P_gen,"(1, 4, 118)",281.90007293946036
P_gen,"(1, 4, 119)",223.03671286165815
P_gen,"(1, 4, 120)",105.21030877704823
P_gen,"(1, 4, 121)",0.0
P_gen,"(1, 4, 122)",0.0
P_gen,"(1, 4, 123)",0.0
P_gen,"(1, 4, 124)",0.0
P_gen,"(1, 4, 125)",0.0
P_gen,"(1, 4, 126)",0.0
P_gen,"(1, 4, 127)",0.0
P_gen,"(1, 4, 128)",0.0
P_gen,"(1, 4, 129)",0.0
P_gen,"(1, 4, 130)",0.0
P_gen,"(1, 4, 131)",2.760150741551172
P_gen,"(1, 4, 132)",66.38341842937018
P_gen,"(1, 5, 1)",500.0
P_gen,"(1, 5, 2)",428.1977875030392
P_gen,"(1, 5, 3)",331.0807196693412
